grader_id,student_id,expected,score
1,6648,65.4899939196184,35.45
1,29337,6.05855688918382,5.45
1,38658,10.0242131622508,8.86
1,44058,3.97605020552874,4.03
1,54112,88.2321631535888,87.54
1,70645,82.6964269625023,82.98
1,95432,38.4347608312964,39.12
1,125612,32.2502027964219,31.82
1,125787,70.8384997444227,71.33
1,153642,53.4736406523734,42.96
1,157163,72.159158391878,71.9
1,160203,43.2361991377547,43.92
1,175660,34.1183848911896,32.57
1,185318,84.0656260494143,83.5
1,186203,27.2517937002704,26.89
1,203114,33.2233861554414,34.51
1,258394,20.2112955506891,19.1
1,266269,87.1053159702569,85.86
1,275349,81.3692866824567,59.82
1,300742,99.4039296871051,99.41
1,322216,98.931163479574,98.99
1,331938,4.2421868769452,3.36
1,356858,68.2033444056287,69.66
1,369798,87.8425970673561,88.63
1,376824,6.76011177711189,7.62
1,413220,94.7075329255313,93.57
1,427577,21.1178090889007,22.41
1,451858,78.3619640627876,78.54
1,526806,28.0547780683264,28.53
1,548799,73.1827873270959,73.96
1,567492,61.8406057823449,60.72
1,634450,69.753633113578,70.97
1,643430,27.0447977352887,26.58
1,663138,54.5404405565932,54.56
1,715798,22.9283232241869,80.49
1,724483,19.5906673790887,19.15
1,738488,72.337937518023,72.13
1,747033,6.37952638790011,6.21
1,767407,32.9641625517979,33.06
1,782826,17.0146604534239,16.27
1,786331,22.4283348536119,46.15
1,802804,44.1645954037085,43.27
1,812693,85.0980972172692,84.66
1,861257,1.78576044272631,0.94
1,890187,97.3553016083315,97.77
1,915496,41.1240032408386,42.41
1,946355,66.468699532561,67.73
1,949135,85.9368361998349,86.58
1,951898,23.2680172659457,24.15
1,956616,68.3609583647922,66.85
2,6648,65.4899939196184,4.92
2,29337,6.05855688918382,2.39
2,38658,10.0242131622508,2.47
2,44058,3.97605020552874,2.27
2,54112,88.2321631535888,19.95
2,70645,82.6964269625023,8.84
2,95432,38.4347608312964,3.57
2,125612,32.2502027964219,3.05
2,125787,70.8384997444227,6.07
2,153642,53.4736406523734,4.04
2,157163,72.159158391878,6.12
2,160203,43.2361991377547,3.61
2,175660,34.1183848911896,3.66
2,185318,84.0656260494143,10.42
2,186203,27.2517937002704,2.99
2,203114,33.2233861554414,3.24
2,258394,20.2112955506891,2.41
2,266269,87.1053159702569,14.37
2,275349,81.3692866824567,8.74
2,300742,99.4039296871051,87.11
2,322216,98.931163479574,49.76
2,331938,4.2421868769452,2.22
